,airport_name,city_name,country_name,timezone,type_of_port
0,Sokol Airport,Magadan,Russia,11,airport
1,Hermanos Serdán International Airport,Puebla,Mexico,-6,airport
2,Mt Pleasant Regional-Faison field,Mount Pleasant,United States,-5,airport
3,La Florida Airport,Tumaco,Colombia,-5,airport
4,Alonso Valderrama Airport,Chitré,Panama,-5,airport
5,Bayannur Tianjitai Airport,Bayannur,China,8,airport
6,Perry Municipal Airport,Perry,United States,-6,airport
7,Mall of America Metro Transit Station,Bloomington,United States,-6,station
8,Madison NJT Station,Madison,United States,-5,station
9,Bu Attifel Airport,Buattifel,Libya,2,airport
10,Darlington County Airport,Darlington,United States,-5,airport
11,Mount Laurel Greyhound Station,Mount Laurel,United States,-5,station
12,Centro de Lançamento de Alcântara Airport,Alcantara,Brazil,-3,airport
13,East Midlands Airport,East Midlands,United Kingdom,0,airport
14,Stamford Amtrak Station,Stamford,United States,-5,station
15,Eura Airport,Eura,Finland,2,airport
16,Isla Mujeres Airport,Isla Mujeres,Mexico,-5,airport
17,Tanjung Manis Airport,Tanjung Manis,Malaysia,8,airport
18,San Antonio Station,Mountain View,United States,-8,station
19,Las Vegas Helicopters Heliport,Las vegas,United States,-8,airport
20,New Haven State Street Station,New Haven,United States,-5,station
21,North Ronaldsay Airport,North Ronaldsay,United Kingdom,0,airport
22,Northeast Alabama Regional Airport,Gadsden,United States,-6,airport
23,Port St Johns Airport,Port Saint Johns,South Africa,2,airport
24,Zhangjiakou Ningyuan Airport,Zhangjiakou,China,8,airport
25,Eros Airport,Windhoek,Namibia,1,airport
26,Watsonville Municipal Airport,Watsonville,United States,-8,airport
27,Boca Raton Station,Boca Raton,United States,-5,station
28,Tindouf Airport,Tindouf,Algeria,1,airport
29,Fitzgerald Municipal Airport,Fitzgerald,United States,-5,airport
30,Atlas Brasil Cantanhede Airport,Boa Vista,Brazil,-4,airport
31,Hughes Airport,Hughes,United States,-9,airport
32,Salekhard Airport,Salekhard,Russia,5,airport
33,Belgaum Airport,Belgaum,India,5.5,airport
34,Morningside Farm Airport,Musina,South Africa,2,airport
35,Iğdır Airport,Igdir,Turkey,3,airport
36,Wiener Neustadt East Airport,Wiener Neustadt Ost,Austria,1,airport
37,Bosset Airport,Bosset,Papua New Guinea,10,airport
38,Sundsvall-Härnösand Airport,Sundsvall,Sweden,1,airport
39,Monseñor Óscar Arnulfo Romero International Airport,San Salvador,El Salvador,-6,airport
40,Danyang Railway Station,Danyang,China,8,station
41,Airport Regional Station,Frankfurt,Germany,1,airport
42,Foumban Nkounja Airport,Foumban,Cameroon,1,airport
43,Laucala Island Airport,Laucala,Fiji,12,airport
44,Flam Station,Flam,Norway,1,station
45,Henderson Field,Wallace,United States,-5,airport
46,Mogador Airport,Essadouira,Morocco,0,airport
47,Porter County Municipal Airport,Valparaiso,United States,-6,airport
48,Warsaw Chopin Airport,Warsaw,Poland,1,airport
49,Kajjansi Airfield,Kampala,Uganda,3,airport
50,Batman Airport,Batman,Turkey,3,airport
51,Mano Dayak International Airport,Agadez,Niger,1,airport
52,Lauterbach Airport,Lauterbach-Wernges,Germany,1,airport
53,Land's End Airport,Land's End,United Kingdom,0,airport
54,Tindal Airport,Katherine,Australia,9.5,airport
55,Evanston-Uinta County Airport-Burns Field,Evanston,United States,-7,airport
56,Roberts International Airport,Monrovia,Liberia,0,airport
57,Malvinas Argentinas Airport,Ushuaia,Argentina,-3,airport
58,Akutan Seaplane Base,Akutan,United States,-9,airport
59,Dover Air Force Base,Dover,United States,-5,airport
60,Shenzhen Bao'an International Airport,Shenzhen,China,8,airport
61,San Carlos Airport,San Carlos,Venezuela,-4,airport
62,Mandalay International Airport,Mandalay,Burma,6.5,airport
63,Dnipropetrovsk International Airport,Dnepropetrovsk,Ukraine,2,airport
64,St. Louis Downtown Airport,East St. Louis,United States,-6,airport
65,Ikela Airport,Ikela,Congo (Kinshasa),1,airport
66,Logroño-Agoncillo Airport,Logroño-Agoncillo,Spain,1,airport
67,Newcastle Aerodrome,Newcastle,Ireland,0,airport
68,Pico Airport,Pico,Portugal,-1,airport
69,Okhotsk Airport,Okhotsk,Russia,10,airport
70,Islas Malvinas Airport,Rosario,Argentina,-3,airport
71,Wangerooge Airport,Wangerooge,Germany,1,airport
72,Redhill Aerodrome,Redhill,United Kingdom,0,airport
73,Shindand Airport,Shindand,Afghanistan,4.5,airport
74,Dongola Airport,Dongola,Sudan,3,airport
75,Yariguíes Airport,Barrancabermeja,Colombia,-5,airport
76,Matheson Island Airport,Matheson Island,Canada,-6,airport
77,Kingcome water aerodrome,Kingcome,Canada,-8,airport
78,Burlingame Station,Burlingame,United States,-8,station
79,Arlesey Railway Station,Arlesey,United Kingdom,0,station
80,Maxwell Air Force Base,Montgomery,United States,-6,airport
81,Prainha Airport,APUI,Brazil,-4,airport
82,Akiachak Airport,Akiachak,United States,-9,airport
83,Qualicum Beach Airport,Qualicum Beach,Canada,-8,airport
84,Bandanaira Airport,Bandanaira-Naira Island,Indonesia,9,airport
85,Tønder Airport,Toender,Denmark,1,airport
86,Luleå Airport,Lulea,Sweden,1,airport
87,Reeves Airport,Tallassee,United States,-5,airport
88,Prince Rupert Ferry Terminal,Prince Rupert,Canada,-7,port
89,Portogruaro Caorle Railway Station,Portogruaro Caorle,Italy,1,station
90,Horace Williams Airport,Chapel Hill,United States,-5,airport
91,Rajiv Gandhi International Airport,Hyderabad,India,5.5,airport
92,Knokke Station,Knokke,Belgium,1,station
