,airport_name,city_name,country_name,timezone,type_of_port
0,Incheon International Airport Station,Incheon,South Korea,9,airport
1,Bathurst Island Airport,Bathurst Island,Australia,9.5,airport
2,Inwood Station,Inwood,United States,-5,station
3,Nuussuaq Heliport,Nuussuaq,Greenland,-3,airport
4,Long Apung Airport,Long Apung-Borneo Island,Indonesia,8,airport
5,Toussaint Louverture International Airport,Port-au-prince,Haiti,-5,airport
6,Dubbo City Regional Airport,Dubbo,Australia,10,airport
7,Tutuka Power Station Airport,Tutuka,South Africa,2,airport
8,Bahia Piña Airport,Bahia Piña,Panama,-5,airport
9,Tahoua Airport,Tahoua,Niger,1,airport
10,Rivolto Air Base,Rivolto,Italy,1,airport
11,Mitiaro Island Airport,Mitiaro Island,Cook Islands,-10,airport
12,Kidston Airport,Kidston,Australia,10,airport
13,Sirjan Airport,Sirjan,Iran,3.5,airport
14,Taian Railway Station,Taian,China,8,station
15,Aweil Airport,Aweil,Sudan,3,airport
16,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,-5,airport
17,Petawawa Airport,Petawawa,Canada,-5,airport
18,Burlington International Airport,Burlington,United States,-5,airport
19,Modibo Keita International Airport,Bamako,Mali,0,airport
20,Karlstad Airport,Karlstad,Sweden,1,airport
21,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Andoas,Peru,-5,airport
22,Lunéville-Croismare Airport,Luneville,France,1,airport
23,Evanston Central Street Station,Evanston,United States,-6,station
24,Suwannee County Airport,Live Oak,United States,-5,airport
25,Wahoo Municipal Airport,Wahoo,United States,-5,airport
26,Savusavu Airport,Savusavu,Fiji,12,airport
27,Qaarsut Airport,Uummannaq,Greenland,-3,airport
28,Capital Intl Terminal 2 Station,Beijing,China,8,station
29,Full Sutton Airfield,York,United Kingdom,0,airport
30,Plymouth Municipal Airport,Plymouth,United States,-5,airport
31,Binhaiguojijichang Station,Tianjin,China,8,station
32,Kerama Airport,Kerama,Japan,9,airport
33,Brest Bretagne Airport,Brest,France,1,airport
34,Dushanbe Airport,Dushanbe,Tajikistan,5,airport
35,General Urquiza Airport,Parana,Argentina,-3,airport
36,Cherokee County Airport,Canton,United States,-5,airport
37,Tela Airport,Tela,Honduras,-6,airport
38,Johnston Atoll Airport,Johnston Island,Johnston Atoll,-10,airport
39,Barkley Regional Airport,PADUCAH,United States,-6,airport
40,Winnemucca Station,Winnemucca,United States,-8,station
41,Siofok Vasutallomas Train Station,Siofok,Hungary,1,station
42,Cuneo International Airport,Cuneo,Italy,1,airport
43,Glasgow International Airport,Glasgow,United Kingdom,0,airport
44,Khasab Air Base,Khasab,Oman,4,airport
45,Thorny Bush Game Lodge Airport,Hoedspruit,South Africa,2,airport
46,Zhangjiakou Ningyuan Airport,Zhangjiakou,China,8,airport
47,Sandviksvag Ferry Terminal,Sandviksvag,Norway,1,port
48,Oskarshamn Airport,Oskarshamn,Sweden,1,airport
49,Walton Airport,Lahore,Pakistan,5,airport
50,Airport South Station,Guangzhou,China,8,airport
51,Diamantina Airport,Diamantina,Brazil,-3,airport
52,Hatfield Railway Station,Hatfield,United Kingdom,0,station
53,Mountain Home Air Force Base,Mountain Home,United States,-7,airport
54,Toksook Bay Airport,Toksook Bay,United States,-9,airport
55,Panjgur Airport,Panjgur,Pakistan,5,airport
56,Boryspil International Airport,Kiev,Ukraine,2,airport
57,Aleknagik / New Airport,Aleknagik,United States,-9,airport
58,Madoogali Seaplane Dock,Alifu Atoll,Maldives,5,airport
59,Tri-County Regional Airport,Lone Rock,United States,-6,airport
60,Nop Goliat Airport,Dekai,Indonesia,9,airport
61,Blythe Airport,Blythe,United States,-8,airport
62,Nannhausen Airport,Nannhausen,Germany,1,airport
63,Evanston-Uinta County Airport-Burns Field,Evanston,United States,-7,airport
64,Coastal Carolina Regional Airport,New Bern,United States,-5,airport
65,Xingtai East train station,Xingtai,China,8,station
66,Denali Train Depot,Denali,United States,-9,station
67,Maiduguri International Airport,Maiduguri,Nigeria,1,airport
68,Penggung Airport,Cirebon,Indonesia,7,airport
69,Hachinohe Airport,Hachinoe,Japan,9,airport
70,Sebring Station,Sebring,United States,-5,station
71,Kengtung Airport,Kengtung,Burma,6.5,airport
72,Wuppertal Hauptbahnhof,Wuppertal,Germany,1,station
