,airport_name,city_name,country_name,timezone,type_of_port
0,Ulan-Ude Airport (Mukhino),Ulan-ude,Russia,8,airport
1,Málaga Airport,Malaga,Spain,1,airport
2,Sierra Vista Municipal Libby Army Air Field,Fort Huachuca,United States,-7,airport
3,Paracatu Airport,Paracatu,Brazil,-3,airport
4,Bonn-Hangelar Airport,Sankt-Augustin,Germany,1,airport
5,Swartkop Air Force Base,Swartkop,South Africa,2,airport
6,Oradea International Airport,Oradea,Romania,2,airport
7,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,1,airport
8,"Pattimura Airport, Ambon",Ambon,Indonesia,9,airport
9,Elstree Airfield,Elstree,United Kingdom,0,airport
10,Rurenabaque Airport,Rerrenabaque,Bolivia,-4,airport
11,Metrorail Transfer Station,Hialeah,United States,-5,station
12,Lynchburg Regional Preston Glenn Field,Lynchburg,United States,-5,airport
13,Bunia Airport,Bunia,Congo (Kinshasa),2,airport
14,Wauchula Municipal Airport,Wuchula,United States,-5,airport
15,Queen Street Station,Glasgow,United Kingdom,0,station
16,Reims-Champagne (BA 112) Air Base,Reims,France,1,airport
17,Naxos Airport,Cyclades Islands,Greece,2,airport
18,Wasior Airport,Wasior,Indonesia,9,airport
19,Clarkson GO Station,Mississauga,Canada,-5,station
20,Orlando Sanford International Airport,Sanford,United States,-5,airport
21,Huntsville International Carl T Jones Field,Huntsville,United States,-6,airport
22,Balıkesir Merkez Airport,Balikesir,Turkey,3,airport
23,Vunisea Airport,Vunisea,Fiji,12,airport
24,Shakawe Airport,Shakawe,Botswana,2,airport
25,Paluknys Airport,Paluknys,Lithuania,2,airport
26,Padre Aldamiz International Airport,Puerto Maldonado,Peru,-5,airport
27,Iran Shahr Airport,Iran Shahr,Iran,3.5,airport
28,Blue Ridge Airport,Martinsville,United States,-4,airport
29,Bom Jesus da Lapa Airport,Bom Jesus Da Lapa,Brazil,-3,airport
30,Iki Airport,Iki,Japan,9,airport
31,College Avenue Station,Wheaton,United States,-6,station
32,Coastal Carolina Regional Airport,New Bern,United States,-5,airport
