,airport_name,city_name,country_name,timezone,type_of_port
0,Hakodate Airport,Hakodate,Japan,9,airport
1,Debre Tabor Airport,Debre Tabor,Ethiopia,3,airport
2,Helsingborg Cruise Port,Helsingborg,Sweden,1,port
3,William Creek Airport,William Creek,Australia,9.5,airport
4,Perugia San Francesco d'Assisi – Umbria International Airport,Perugia,Italy,1,airport
5,U-Tapao International Airport,Pattaya,Thailand,7,airport
6,Narsaq Heliport,Narsaq,Greenland,-3,airport
7,Dibrugarh Airport,Mohanbari,India,5.5,airport
8,Whale Cove Airport,Whale Cove,Canada,-6,airport
9,Lavan Island Airport,Lavan Island,Iran,3.5,airport
10,Holzdorf Air Base,Holzdorf,Germany,1,airport
11,El Lencero Airport,Jalapa,Mexico,-6,airport
12,Andahuaylas Airport,Andahuaylas,Peru,-5,airport
13,Braunschweig Hauptbahnhof,Braunschweig,Germany,1,station
14,Matagami Airport,Matagami,Canada,-5,airport
15,Lutherstadt Wittenberg Bahnhof,Wittenberg,Germany,1,station
16,Moshi Airport,Moshi,Tanzania,3,airport
17,Kunovice Airport,Kunovice,Czech Republic,1,airport
18,La Defense Heliport,Paris,France,1,airport
19,Fazenda Campo Verde Airport,Sihanoukville,Cambodia,-3,airport
20,Hua Mak Station,Bangkok,Thailand,8,station
21,La Désirade Airport,Grande Anse,Guadeloupe,-4,airport
22,Oswaldo Guevara Mujica Airport,Acarigua,Venezuela,-4,airport
23,Kawama Airport,Kawama,Cuba,-5,airport
24,Szeged Railway Station,Szeged,Hungary,1,station
25,Jolo Airport,Jolo,Philippines,8,airport
26,Coffman Cove Seaplane Base,Coffman Cove,United States,-9,airport
27,Charlotte County Airport,Punta Gorda,United States,-5,airport
28,Palermo-Boccadifalco Airport,Palermo,Italy,1,airport
29,Buta Zega Airport,Buta Zega,Congo (Kinshasa),2,airport
30,Bowen Hills Railway Station,Bowen Hills,Australia,10,station
31,San Felipe International Airport,San Filipe,Mexico,-8,airport
32,Kalkgurung Airport,Kalkgurung,Australia,9.5,airport
33,Karonga Airport,Karonga,Malawi,2,airport
34,Andahuaylas Airport,Andahuaylas,Peru,-5,airport
35,Mount Pleasant Airport,Mount Pleasant,Falkland Islands,-3,airport
36,Mid Delta Regional Airport,Greenville,United States,-6,airport
37,Munich Airport,Munich,Germany,1,airport
38,"Mo i Rana Airport, Røssvoll",Mo i Rana,Norway,1,airport
39,Berezovo Airport,Berezovo,Russia,5,airport
40,Ballera Airport,Ballera,Australia,10,airport
41,Piedras Negras International Airport,Piedras Negras,Mexico,-6,airport
