,airport_name,city_name,country_name,timezone,type_of_port
0,Hadley Wood Railway Station,Hadley Wood,United Kingdom,0,station
1,Danbury Municipal Airport,Danbury,United States,-5,airport
2,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-3,airport
3,Tokachi Airport,Tokachi,Japan,9,airport
4,Bloor Station,Toronto,Canada,-5,station
5,Seaplane Base,Port Simpson,Canada,-8,airport
6,Puka Puka Airport,Puka Puka,French Polynesia,-10,airport
7,Saidpur Airport,Saidpur,Bangladesh,6,airport
8,West Footscray Railway Station,Footscray,Australia,10,station
9,Stratford International Station,London,United Kingdom,0,station
10,Dulles International Airport Station,Chantilly,United States,-5,airport
11,Ust-Kuyga Airport,Ust-Kuyga,Russia,10,airport
12,Vanavara Airport,Vanavara,Russia,7,airport
13,Medicine Hat Airport,Medicine Hat,Canada,-7,airport
14,Chios Island National Airport,Chios,Greece,2,airport
15,Niue International Airport,Alofi,Niue,-11,airport
16,Machu Pichu Airport,Machu Pichu,Peru,-5,airport
17,Hellerup Railway Station,Hellerup,Denmark,1,station
18,Basrah International Airport,Basrah,Iraq,3,airport
19,Broadmeadows Railway Station,Broadmeadows,Australia,10,station
20,La Gomera Airport,La Gomera,Spain,0,airport
21,Baker Lake Airport,Baker Lake,Canada,-6,airport
22,Kopitnari Airport,Kutaisi,Georgia,4,airport
23,Morpeth Railway Station,Morpeth,United Kingdom,0,station
24,Gerardo Tobar López Airport,Buenaventura,Colombia,-5,airport
25,Schenectady Amtrak Station,Schenectady,United States,-5,station
26,Tulsa International Airport,Tulsa,United States,-6,airport
27,Tongluo Station,Tongluo,Taiwan,8,station
28,Baillif Airport,Basse Terre,Guadeloupe,-4,airport
29,Aykhal Airport,Aykhal,Russia,9,airport
30,Gallatin Field,Bozeman,United States,-7,airport
31,Asheville Greyhound Station,Asheville,United States,-5,station
32,Kolda North Airport,Kolda,Senegal,0,airport
33,Tocache Airport,Tocache,Peru,-5,airport
34,Lamidanda Airport,Lamidanda,Nepal,5.75,airport
35,Meaux Esbly Airport,Meaux,France,1,airport
36,Renton Municipal Airport,Renton,United States,-8,airport
37,Drietabbetje Airport,Drietabbetje,Suriname,-3,airport
38,Norman Wells Airport,Norman Wells,Canada,-7,airport
39,Port Bailey Seaplane Base,Port Bailey,United States,-9,airport
40,Guangmingcheng Station,Guangming,China,8,station
41,Lubbenau Station,Lubbenau,Germany,1,station
42,Lake Macquarie Airport,Lake Macquarie,Australia,10,airport
43,Denali Rail,Healy,United States,-9,station
44,Chokurdakh Airport,Chokurdah,Russia,11,airport
45,Enumclaw Airport,Enumclaw,United States,-8,airport
46,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,Argentina,-3,airport
47,Hwange (Town) Airport,Hwange,Zimbabwe,2,airport
48,Malbork Military Air Base,Malbork,Poland,1,airport
49,Nannhausen Airport,Nannhausen,Germany,1,airport
50,Narita Station,Narita,Japan,9,station
51,Gatwick Airport Railway Station,Crawley,United Kingdom,0,airport
52,Taita Hills Airport,Taita Hills,Kenya,3,airport
53,Wattay International Airport,Vientiane,Laos,7,airport
54,Biliran Airport,Biliran,Philippines,8,airport
55,Maré Airport,Mare,New Caledonia,11,airport
56,Cologne Railway,Cologne,Germany,1,station
57,Toliara Airport,Toliara,Madagascar,3,airport
58,El Libertador Airbase,Maracaibo,Venezuela,-4,airport
59,Marudi Airport,Marudi,Malaysia,8,airport
60,Nyagan Airport,Nyagan,Russia,5,airport
61,Greenwich Station,Greenwich,United States,-5,station
62,New Tanegashima Airport,Tanegashima,Japan,9,airport
63,Plattling Bahnhof,Plattling,Germany,1,station
64,Kyzyl Airport,Kyzyl,Russia,7,airport
65,Lubben-Spreewald Station,Lubben-Spreewald,Germany,1,station
66,Mikonos Airport,Mykonos,Greece,2,airport
67,Mielec Airport,Mielec,Poland,1,airport
68,Ras Al Khaimah International Airport,Ras Al Khaimah,United Arab Emirates,4,airport
69,University Park Airport,State College Pennsylvania,United States,-5,airport
70,Imperial County Airport,Imperial,United States,-8,airport
71,Sechelt Aerodrome,Sechelt-Gibsons,Canada,-8,airport
72,Cloncurry Airport,Cloncurry,Australia,10,airport
73,Deer Lake Airport,Deer Lake,Canada,-6,airport
74,Beverly Municipal Airport,Beverly,United States,-5,airport
75,Americana Airport,Americana,Brazil,-3,airport
76,Sohar Airport,Sohar,Oman,4,airport
77,Santo Domingo Airport,CONSELVAN,Brazil,-4,airport
78,Dodge City Regional Airport,Dodge City,United States,-6,airport
79,Heraklion International Nikos Kazantzakis Airport,Heraklion,Greece,2,airport
80,Grand Central Airport,Johannesburg,South Africa,2,airport
81,Columbia Metropolitan Airport,Columbia,United States,-5,airport
82,Olhos D`água Airport,Agua Boa,Brazil,-4,airport
83,Brampton Island Airport,Brampton Island,Australia,10,airport
84,Philip S. W. Goldson International Airport,Belize City,Belize,-6,airport
85,Flugplatz Hartenholm,Hasenmoor,Germany,1,airport
86,Aksu Airport,Aksu,China,8,airport
87,Góraszka Airport,Goraszka,Poland,1,airport
88,Yverdon-les-Bains Airport,Yverdon-Les-Bains,Switzerland,1,airport
89,Palo Alto Airport of Santa Clara County,Palo Alto,United States,-8,airport
90,Bazaruto Island Airport,Bazaruto Island,Mozambique,2,airport
91,Belize City Municipal Airport,Belize,Belize,-6,airport
92,Ust-Ilimsk Airport,Ust Ilimsk,Russia,8,airport
93,Lamar Station,Lamar,United States,-7,station
94,Solapur Airport,Sholapur,India,5.5,airport
95,RAF Ascension Island,Wide Awake,Saint Helena,0,airport
96,Ramat David Air Base,Ramat David,Israel,2,airport
97,Petrozavodsk Airport,Petrozavodsk,Russia,3,airport
98,Ljubljana Railway Station,Ljubljana,Slovenia,1,station
99,Wilkes Barre Wyoming Valley Airport,Wilkes-Barre,United States,-5,airport
100,Cuyahoga County Airport,Richmond Heights,United States,-5,airport
101,St Cloud Regional Airport,Saint Cloud,United States,-6,airport
102,Milano-Bresso Airfield,Milano,Italy,1,airport
103,Alghero-Fertilia Airport,Alghero,Italy,1,airport
104,Sipaliwini Airport,Sipaliwini,Suriname,-3,airport
105,Maasin Airport,Maasin,Philippines,8,airport
106,Diego Garcia Naval Support Facility,Diego Garcia Island,British Indian Ocean Territory,6,airport
107,Gustavus Airport,Gustavus,United States,-9,airport
108,Clayton J Lloyd International Airport,The Valley,Anguilla,-4,airport
109,Antwerp International Airport (Deurne),Antwerp,Belgium,1,airport
110,Ust-Kuyga Airport,Ust-Kuyga,Russia,10,airport
111,Quelimane Airport,Quelimane,Mozambique,2,airport
112,São Jacinto Airport,Aveiro,Portugal,0,airport
113,Kyoto Station,Kyoto,Japan,9,station
114,Stenkol Airport,Bintuni,Indonesia,9,airport
115,Finger Lakes Regional Airport,Seneca Falls,United States,-5,airport
116,Sármellék International Airport,Sármellék,Hungary,1,airport
117,Benguela Airport,Benguela,Angola,1,airport
118,Naperville Station,Naperville,United States,-6,station
119,Tweed New Haven Airport,New Haven,United States,-5,airport
120,Lodrino Air Base,Lodrino,Switzerland,1,airport
121,Kuwait International Airport,Kuwait,Kuwait,3,airport
122,Hervey Bay Airport,Hervey Bay,Australia,10,airport
123,Como (Idroscalo - Water Ad) Hidroport,Como,Italy,1,airport
124,Tidjikja Airport,Tidjikja,Mauritania,0,airport
125,Milano Linate Airport,Milan,Italy,1,airport
126,Sambu Airport,Boca de Sábalo,Panama,-5,airport
127,Vredendal Airport,Vredendal,South Africa,2,airport
128,Bremgarten Airport,Bremgarten,Germany,1,airport
129,Debrecen International Airport,Debrecen,Hungary,1,airport
130,Fukue Airport,Fukue,Japan,9,airport
131,Ganges Seaplane Base,Ganges,Canada,-8,airport
132,Longniddry Railway Station,Longniddry,United Kingdom,0,station
133,Ciudad Obregón International Airport,Ciudad Obregon,Mexico,-7,airport
134,Urucu Airport,Porto Urucu,Brazil,-4,airport
135,Cleveland Lakefront Station,Cleveland,United States,-5,station
136,Tadjoura Airport,Tadjoura,Djibouti,3,airport
137,Wallyford Railway Station,Wallyford,United Kingdom,0,station
138,Wallyford Railway Station,Wallyford,United Kingdom,0,station
139,Ankeny Regional Airport,Ankeny,United States,-6,airport
140,Tamworth Airport,Tamworth,Australia,10,airport
141,Lübeck Blankensee Airport,Luebeck,Germany,1,airport
142,Naples International Airport,Naples,Italy,1,airport
143,Zeuthen Station,Zeuthen,Germany,1,station
144,Durgapur Railway Station,Durgapur,India,5.5,station
145,Wekweètì Airport,Wekweeti,Canada,-7,airport
146,Villa Garzón Airport,Villa Garzon,Colombia,-5,airport
147,Aalborg Airport,Aalborg,Denmark,1,airport
148,Kashgar Airport,Kashi,China,8,airport
149,Donetsk International Airport,Donetsk,Ukraine,2,airport
150,Nulato Airport,Nulato,United States,-9,airport
151,Pitt Island Airport,Pitt Island,New Zealand,12.75,airport
