,airport_name,city_name,country_name,timezone,type_of_port
0,Bentota Airport,Bentota,Sri Lanka,5.5,airport
1,Wangen-Lachen Airport,Wangen-Lachen,Switzerland,1,airport
2,Alma Airport,Alma,Canada,-5,airport
3,Moshoeshoe I International Airport,Maseru,Lesotho,2,airport
4,Berbera Airport,Berbera,Somalia,3,airport
5,George Bush Intercontinental Houston Airport,Houston,United States,-6,airport
6,Seaplane Base,Winterhaven,United States,-5,airport
7,Sir Charles Gaetan Duval Airport,Rodriguez Island,Mauritius,4,airport
8,Monroe County Airport,Bloomington,United States,-5,airport
9,Hato International Airport,Willemstad,Netherlands Antilles,-4,airport
10,Stanly County Airport,Albemarle,United States,-4,airport
11,Ravenswood Station,Chicago,United States,-6,station
12,Soure Airport,Soure,Brazil,-3,airport
13,Nyugati Railway Terminal,Budapest,Hungary,1,station
14,Dirkou Airport,Dirkou,Niger,1,airport
15,Roanoke–Blacksburg Regional Airport,Roanoke VA,United States,-5,airport
16,Tasiusaq (Qaasuitsup) Heliport,Tasiusaq,Greenland,-3,airport
17,Fairbanks International Airport,Fairbanks,United States,-9,airport
18,Tunxi International Airport,Huangshan,China,8,airport
19,Frank Wiley Field,Miles City,United States,-7,airport
20,North Berwick Railway Station,North Berwick,United Kingdom,0,station
21,Nador International Airport,El Aroui,Morocco,0,airport
22,East Chicago Station,East Chicago,United States,-6,station
23,Manitoulin East Municipal Airport,Manitowaning,Canada,-5,airport
24,Trat Airport,Trat,Thailand,7,airport
25,Cranfield Airport,Cranfield,United Kingdom,0,airport
26,Lipki Air Base,Minsk,Belarus,3,airport
27,Perugia San Francesco d'Assisi – Umbria International Airport,Perugia,Italy,1,airport
28,Bykovo Airport,Moscow,Russia,3,airport
29,Menkijarvi Airport,Menkijarvi,Finland,2,airport
30,Queen Street Station,Glasgow,United Kingdom,0,station
31,Ellison Onizuka Kona International At Keahole Airport,Kona,United States,-10,airport
32,Tampa Executive Airport,Tampa,United States,-5,airport
33,Brainerd Lakes Regional Airport,Brainerd,United States,-6,airport
34,Cape May Ferry Terminal,Cape May NJ,United States,-5,port
35,Sege Airport,Sege,Solomon Islands,11,airport
36,Naha Airport,Naha,Indonesia,8,airport
37,Yantai Laishan Airport,Yantai,China,8,airport
38,Sechelt Aerodrome,Sechelt-Gibsons,Canada,-8,airport
39,General E. Mosconi Airport,Comodoro Rivadavia,Argentina,-3,airport
40,Kanpur Central Railway Station,Kanpur,India,5.5,station
41,Oyo Ollombo Airport,Oyo,Congo (Brazzaville),1,airport
42,Sierra Blanca Regional Airport,Ruidoso,United States,-7,airport
43,Queen Street Station,Glasgow,United Kingdom,0,station
44,Kingston Norman Rogers Airport,Kingston,Canada,-5,airport
45,Mallards Landing Airport,Locust Grove,United States,-5,airport
46,Aberdeen Station,Hong Kong,Hong Kong,8,station
47,Sierra Grande Airport,Sierra Grande,Argentina,-3,airport
48,Tanjung Manis Airport,Tanjung Manis,Malaysia,8,airport
49,Moshi Airport,Moshi,Tanzania,3,airport
50,Ariquemes Airport,ARIQUEMES,Brazil,-4,airport
51,RAF Northolt,Northolt,United Kingdom,0,airport
52,Soroako Airport,Soroako,Indonesia,8,airport
53,Coral Creek Airport,Placida,United States,-5,airport
54,Borongan Airport,Borongan,Philippines,8,airport
55,Ely Airport Yelland Field,Ely,United States,-8,airport
56,Nordholz Naval Airbase,Nordholz,Germany,1,airport
57,Namrole Airport,Buru Island,Indonesia,9,airport
58,McChord Air Force Base,Tacoma,United States,-8,airport
59,São Jorge Airport,Sao Jorge Island,Portugal,-1,airport
60,Ronda Airport,Ronda,Spain,1,airport
61,Cascais Airport,Cascais,Portugal,0,airport
62,Tenerife South Airport,Tenerife,Spain,0,airport
63,Birmingham New Street Railway Station,Birmingham,United Kingdom,0,station
64,Licenciado y General Ignacio Lopez Rayon Airport,Uruapan,Mexico,-6,airport
65,Estadual Arthur Siqueira Airport,Braganca Paulista,Brazil,-3,airport
66,Hitchin Railway Station,Hitchin,United Kingdom,0,station
67,Chita-Kadala Airport,Chita,Russia,9,airport
68,Ixtapa Zihuatanejo International Airport,Zihuatanejo,Mexico,-6,airport
69,Ekati Airport,Ekati,Canada,-7,airport
70,Kaklıç Airport,Izmir,Turkey,3,airport
71,Kauhajoki Airport,Kauhajoki,Finland,2,airport
72,Henderson Executive Airport,Henderson,United States,-8,airport
73,Venetie Airport,Venetie,United States,-9,airport
74,Yichun Mingyueshan Airport,Yichun,China,8,airport
75,Leutkirch-Unterzeil Airport,Leutkirch,Germany,1,airport
76,Kyoto Station,Kyoto,Japan,9,station
77,Hochdahl Station,Erkrath,Germany,1,station
