,airport_name,city_name,country_name,timezone,type_of_port
0,Portsmouth International at Pease Airport,Portsmouth,United States,-5,airport
1,Northeim Airport,Northeim,Germany,1,airport
2,Ashby BART Station,Berkeley,United States,-8,station
3,Subic Bay International Airport,Olongapo City,Philippines,8,airport
4,Kwamalasoemoetoe Airport,Kwamelasemoetoe,Suriname,-3,airport
5,Rough River State Park Airport,Null,United States,-6,airport
6,Biratnagar Airport,Biratnagar,Nepal,5.75,airport
7,Bologna Centrale Railway Station,Bologna,Italy,1,station
8,Nosara Airport,Nosara Beach,Costa Rica,-6,airport
9,Getafe Air Base,Madrid,Spain,1,airport
10,Elliott Airport,Elliott,Australia,9.5,airport
11,Wonopito Airport,Lewoleba,Indonesia,8,airport
12,Wooloowin Railway Station,Wooloowin,Australia,10,station
13,Larnaca International Airport,Larnaca,Cyprus,2,airport
14,Dubuque Regional Airport,Dubuque IA,United States,-6,airport
15,Scappoose Industrial Airpark,San Luis,United States,-8,airport
16,Magongnaru Station,Seoul,South Korea,9,station
17,Saint John Airport,St. John,Canada,-4,airport
18,Hineno Station,Izumisano,Japan,9,station
19,Lancaster Airport,Lancaster,United States,-5,airport
20,Shaktoolik Airport,Shaktoolik,United States,-9,airport
21,Tobago-Crown Point Airport,Scarborough,Trinidad and Tobago,-4,airport
22,Port O'Connor Private Heliport,Port O\'Connor,United States,-6,airport
23,Lourdes de Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,Canada,-4,airport
24,Marmande-Virazeil Airport,Marmande,France,1,airport
25,Megiddo Airport,Megido Airstrip,Israel,2,airport
26,Hami Airport,Hami,China,8,airport
27,Mahdia Airport,Mahdia,Guyana,-4,airport
28,Wurzburg HBF,Wurzburg,Germany,1,station
29,Los Alamitos Army Air Field,Solwesi,Zambia,-8,airport
30,Watertown Regional Airport,Watertown,United States,-6,airport
31,Kauhajoki Airport,Kauhajoki,Finland,2,airport
32,Atlas Brasil Cantanhede Airport,Boa Vista,Brazil,-4,airport
33,Tiree Airport,Tiree,United Kingdom,0,airport
34,Islas Malvinas Airport,Rosario,Argentina,-3,airport
35,Nurnberg HBF,Nurnberg,Germany,1,station
36,Gods River Airport,Gods River,Canada,-6,airport
37,Laghouat Airport,Laghouat,Algeria,1,airport
38,Haneda Airport International Terminal Station,Tokyo,Japan,9,airport
39,Saluda County Airport,Saluda,United States,-5,airport
40,Turkmenabat Airport,Chardzhou,Turkmenistan,5,airport
41,Las Brujas Airport,Corozal,Colombia,-5,airport
42,Saint John Airport,St. John,Canada,-4,airport
43,Busia Airport,Busia,Kenya,3,airport
44,Futian Checkpoint Station,Shenzhen,China,8,station
45,Zhenjiang Railway Station,Zhenjiang,China,8,station
46,Esbjerg Airport,Esbjerg,Denmark,1,airport
47,"Zakynthos International Airport ""Dionysios Solomos""",Zakynthos,Greece,2,airport
48,Paramillo Airport,San Cristobal,Venezuela,-4,airport
49,Hilversum Airfield,Hilversum,Netherlands,1,airport
50,Grand Marais Cook County Airport,Grand Marais,United States,-6,airport
51,Île Art - Waala Airport,Waala,New Caledonia,11,airport
52,San Tomé Airport,San Tome,Venezuela,-4,airport
53,Anglesey Airport,Angelsey,United Kingdom,0,airport
54,Phillips Army Air Field,Aberdeen,United States,-5,airport
55,Arorae Island Airport,Arorae,Kiribati,12,airport
56,Ursel Air Base,Ursel,Belgium,1,airport
57,Grafton Airport,Grafton,Australia,10,airport
58,Niigata Airport,Niigata,Japan,9,airport
59,Aktau Airport,Aktau,Kazakhstan,5,airport
60,Anacortes Airport,Anacortes,United States,-8,airport
61,Dumatumbun Airport,Langgur-Kei Islands,Indonesia,9,airport
62,Four Corners Regional Airport,Farmington,United States,-7,airport
63,RAF Lossiemouth,Lossiemouth,United Kingdom,0,airport
64,Daet Airport,Daet,Philippines,8,airport
65,Gerardo Tobar López Airport,Buenaventura,Colombia,-5,airport
66,Dezful Airport,Dezful,Iran,3.5,airport
67,South Bend Station,South Bend,United States,-5,station
68,King Khaled Military City Airport,King Khalid Mil.city,Saudi Arabia,3,airport
69,Los Alamos Airport,Los Alamos,United States,-7,airport
70,Winnipeg / St. Andrews Airport,Winnipeg,Canada,-6,airport
71,Bogashevo Airport,Tomsk,Russia,7,airport
72,Besançon-La Vèze Airport,Besancon-la-veze,France,1,airport
73,General Ulpiano Paez Airport,Salinas,Ecuador,-5,airport
74,Niigata Airport,Niigata,Japan,9,airport
75,Darnley Island Airport,Darnley Island,Australia,10,airport
76,Urzhar Airport,Urzhar,Kazakhstan,6,airport
77,Enrique Adolfo Jimenez Airport,Colón,Panama,-5,airport
78,Tønder Airport,Toender,Denmark,1,airport
79,Palmar Airport,Santa Lucia,Peru,-4,airport
