,airport_name,city_name,country_name,timezone,type_of_port
0,Shahrekord Airport,Shahre Kord,Iran,3.5,airport
1,Mocímboa da Praia Airport,Mocimboa Da Praia,Mozambique,2,airport
2,Newtok Airport,Newtok,United States,-9,airport
3,Enghave Railway Station,Copenhagen,Denmark,1,station
4,Bamberg County Airport,Bamberg,United States,-5,airport
5,Granada Station,Granada,Spain,1,station
6,Rendani Airport,Manokwari,Indonesia,9,airport
7,Urgench Airport,Urgench,Uzbekistan,5,airport
8,Danbury Municipal Airport,Danbury,United States,-5,airport
9,Thandwe Airport,Thandwe,Burma,6.5,airport
10,Orinduik Airport,Orinduik,Guyana,-4,airport
11,Araxos Airport,Patras,Greece,2,airport
12,Shahid Vatan Pour Air Base,Esfahan,Iran,3.5,airport
13,Meade Municipal Airport,Meade,United States,-5,airport
14,Canouan Airport,Canouan Island,Saint Vincent and the Grenadines,-4,airport
15,Tamuin Airport,Tamuin,Mexico,-6,airport
16,Mataro Train Station,Mataro,Spain,1,station
17,Prince Rupert/Seal Cove Seaplane Base,Prince Rupert,Canada,-8,airport
18,Niagara Falls International Airport,Niagara Falls,United States,-5,airport
19,Mário Ribeiro Airport,Montes Claros,Brazil,-3,airport
20,Schenectady Amtrak Station,Schenectady,United States,-5,station
21,Büchel Air Base,Buechel,Germany,1,airport
22,Pyramiden Heliport,Pyramiden,Norway,1,airport
23,Lerwick / Tingwall Airport,Lerwick,United Kingdom,0,airport
24,Modesto City Co-Harry Sham Field,Modesto,United States,-8,airport
25,Westkapelle heliport,Knokke,Belgium,1,airport
26,Wurzburg HBF,Wurzburg,Germany,1,station
27,Oxford Railway Station,Oxford,United Kingdom,0,station
28,Mongu Airport,Mongu,Zambia,2,airport
29,Isla Mujeres Airport,Isla Mujeres,Mexico,-5,airport
30,Jabalpur Airport,Jabalpur,India,5.5,airport
31,Redwood City Station,Redwood City,United States,-8,station
32,Nea Anchialos Airport,Nea Anghialos,Greece,2,airport
33,Balimo Airport,Balimo,Papua New Guinea,10,airport
34,Tulsipur Airport,Dang,Nepal,5.75,airport
35,Hood Army Air Field,Fort Hood,United States,-6,airport
36,Port Stanley Airport,Stanley,Falkland Islands,-3,airport
37,Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq,Canada,-5,airport
38,Enghien Moisselles Airfield,Enghien-moisselles,France,1,airport
39,Millikin GO Station,Toronto,Canada,-5,station
40,McCall Municipal Airport,McCall,United States,-7,airport
41,Würzburg-Schenkenturm Airport,Wuerzburg,Germany,1,airport
42,P C Pelser Airport,Klerksdorp,South Africa,2,airport
43,Kent International Airport,Manston,United Kingdom,0,airport
44,El Tajín National Airport,Poza Rico,Mexico,-6,airport
45,Capitan D Daniel Vazquez Airport,San Julian,Argentina,-3,airport
46,Omarama Glider Airport,Omarama,New Zealand,12,airport
47,Omsk Central Airport,Omsk,Russia,6,airport
48,Johannesburg Park Station,Johannesburg,South Africa,2,station
49,Ilam Airport,Ilam,Iran,3.5,airport
50,Yuncheng Guangong Airport,Yuncheng,China,8,airport
51,Captain Auguste George Airport,Anegada,British Virgin Islands,-4,airport
52,Russian Mission Airport,Russian Mission,United States,-9,airport
53,Mestia Queen Tamar Airport,Mestia,Georgia,5,airport
54,In Aménas Airport,Zarzaitine,Algeria,1,airport
55,Dover Air Force Base,Dover,United States,-5,airport
56,Kodinsk Airport,Kodinsk,Russia,7,airport
57,Caransebeş Airport,Caransebes,Romania,2,airport
58,Lowell City Airport,Lowell,United States,-5,airport
59,Balmaceda Airport,Balmaceda,Chile,-4,airport
60,Karup Airport,Karup,Denmark,1,airport
61,Andøya Airport,Andoya,Norway,1,airport
62,Elefsis Airport,Elefsis,Greece,2,airport
63,Eindhoven Airport,Eindhoven,Netherlands,1,airport
64,Truth Or Consequences Municipal Airport,Truth Or Consequences,United States,-7,airport
65,Beru Airport,Beru Island,Kiribati,12,airport
66,Sadiq Abubakar III International Airport,Sokoto,Nigeria,1,airport
67,Koliganek Airport,Koliganek,United States,-9,airport
68,Acklington Railway Station,Acklington,United Kingdom,0,station
69,Port Augusta Airport,Argyle,Australia,9.5,airport
70,Victoria Harbour (Camel Point) Heliport,Victoria,Canada,-8,airport
71,Montreal Central Bus Station,Montreal,Canada,-5,station
72,Covington Municipal Airport,Covington,United States,-5,airport
73,South Norwalk Station,Norwalk,United States,-5,station
74,Niederoeblarn Airport,Niederoeblarn,Austria,1,airport
75,Lok Nayak Jayaprakash Airport,Patina,India,5.5,airport
76,Shaw Air Force Base,Sumter,United States,-5,airport
77,Pitu Airport,Morotai Island,Indonesia,9,airport
78,Bern Belp Airport,Bern,Switzerland,1,airport
79,San Sebastian Airport,San Sebastian,Spain,1,airport
80,Basankusu Airport,Basankusu,Congo (Kinshasa),1,airport
81,Lewa Airport,Lewa Downs,Kenya,3,airport
82,Coldfoot Airport,Coldfoot,United States,-9,airport
83,Perry Houston County Airport,Perry,United States,-4,airport
84,Varanasi Junction Railway Station,Varanasi,India,5.5,station
85,Capitan Oriel Lea Plaza Airport,Tarija,Bolivia,-4,airport
86,RAF Northolt,Northolt,United Kingdom,0,airport
87,Bern Belp Airport,Bern,Switzerland,1,airport
88,Kramfors Sollefteå Airport,Kramfors,Sweden,1,airport
89,Cranfield Airport,Cranfield,United Kingdom,0,airport
90,Dusseldorf Zoo Station,Dusseldorf,Germany,1,station
91,Dane County Regional Truax Field,Madison,United States,-6,airport
92,Santa Terezinha Airport,Santa Terezinha,Brazil,-4,airport
