,airport_name,city_name,country_name,timezone,type_of_port
0,Beaver County Airport,Beaver Falls,United States,-5,airport
1,Amboseli Airport,Amboseli National Park,Kenya,3,airport
2,Glendale Municipal Airport,Glendale,United States,-7,airport
3,Klaipėda Airport,Klaipeda,Lithuania,2,airport
4,Taoyuan Station,Zhongli,Taiwan,8,station
5,Wrigley Airport,Wrigley,Canada,-7,airport
6,RAAF Base Edinburgh,Edinburgh,Australia,9.5,airport
7,Havre St Pierre Airport,Havre-Saint-Pierre,Canada,-5,airport
8,Reyes Murillo Airport,Nuquí,Colombia,-5,airport
9,Quezaltenango Airport,Quezaltenango,Guatemala,-6,airport
10,Yaoqiang Airport,Jinan,China,8,airport
11,Tulsa International Airport,Tulsa,United States,-6,airport
12,Himeji Station,Himeji,Japan,9,station
13,Xingyi Airport,Xingyi,China,8,airport
14,Tte. Julio Gallardo Airport,Puerto Natales,Chile,-4,airport
15,Dothan Regional Airport,Dothan,United States,-6,airport
16,Sundsvall-Härnösand Airport,Sundsvall,Sweden,1,airport
17,Barking Sands Airport,Barking Sands,United States,-10,airport
18,Pikangikum Airport,Pikangikum,Canada,-6,airport
19,Soekarno-Hatta International Airport,Jakarta,Indonesia,7,airport
20,Brugge Railway Station,Bruges,Belgium,1,station
21,Kota Kinabalu Airport,Kota Kinabalu,Malaysia,1,airport
22,Massawa International Airport,Massawa,Eritrea,3,airport
23,Groote Eylandt Airport,Groote Eylandt,Australia,9.5,airport
24,Riverton Regional Airport,Riverton WY,United States,-7,airport
25,Kingcome water aerodrome,Kingcome,Canada,-8,airport
26,Volgograd International Airport,Volgograd,Russia,3,airport
27,Davidson County Airport,Lexington,United States,-4,airport
28,Griffiss International Airport,Rome,United States,-5,airport
29,Bajawa Soa Airport,Bajawa,Indonesia,8,airport
30,Lotnisko Korne,Koszalin,Poland,1,airport
31,Inverell Airport,Inverell,Australia,10,airport
32,Juan Gualberto Gomez International Airport,Varadero,Cuba,-5,airport
33,Namrole Airport,Buru Island,Indonesia,9,airport
34,Jeypore Airport,Jeypore,India,5.5,airport
35,Liege-Guillemins Railway Station,Liege,Belgium,1,station
